profile_id;sequence_nbr;start_date;end_date;company;title;country;region;location;is_title_d_and_a;tk_title_standardized_original_language;tk_title_original_language;tk_title_standardized_english;tk_title_standardized_group;tk_title_standardized_class;is_title_manager;odp_function;mck_function
d70241d2-a11c-43e0-8ab4-ad4abd2d2920;8;12/01/2021;04/01/2022;Deel;Business Development Representative;Australia;;;FALSE;English;Sales Manager;Sales Manager;Sales Managers;Sales and Trading;FALSE;Marketing & Sales;Sales
b56d5504-d188-4a1d-969d-32d201fd34ec;5;07/01/2021;07/01/2022;monday.com;Manager;Australia;;;FALSE;English;Customer Manager;Customer Manager;Heads of Administration and Customer Services;Administration and Customer Service;TRUE;Digital & Analytics;Analytics
b56d5504-d188-4a1d-969d-32d201fd34ec;4;12/01/2020;07/01/2021;monday.com;Customer Experience Advocate;Australia;New South Wales;;FALSE;English;Customer Manager;Customer Manager;Heads of Administration and Customer Services;Administration and Customer Service;FALSE;Operations;Operations
eb8b20a6-14d1-490e-b705-088a133e7ad5;13;01/01/2021;;monday.com;Senior Consultant;Australia;New South Wales;;FALSE;English;Consultant (other);Consultant (other);Other Professions;Other;FALSE;Operations;Operations
d93920ed-6df1-427e-8e94-956e79b3f186;8;04/01/2022;;Papaya Global Group;Account Specialist;Australia;Victoria;;FALSE;English;Operations Research Analyst;Operations Research Analyst;Management Analysts and Consultants;Management, Policy and Governance;FALSE;Finance;Finance
56d3d208-0eac-471c-b78e-819af34a509f;3;01/01/2022;12/01/2022;hibob;Business Development Representative;Australia;;;FALSE;English;Sales Manager;Sales Manager;Sales Managers;Sales and Trading;FALSE;Marketing & Sales;Sales
4a07a7b6-ff60-48e6-8bed-610fcd1fe7d0;5;03/01/2022;;hibob;Senior Sales Consultant;Australia;New South Wales;;FALSE;English;Business Development Manager;Business Development Manager;Sales Managers;Sales and Trading;FALSE;Marketing & Sales;Sales
56d3d208-0eac-471c-b78e-819af34a509f;4;01/01/2023;;hibob;Senior Sales Consultant;Australia;;;FALSE;English;Business Development Manager;Business Development Manager;Sales Managers;Sales and Trading;FALSE;Marketing & Sales;Sales
bf3b04a5-6a2c-42b8-ac22-9f00673e68ed;7;03/01/2022;;Papaya Global Group;Global Payroll Expert;Australia;Victoria;;FALSE;;;;;;FALSE;Legal, Risk & HR;HR
c6bf792e-77e3-4a75-b6be-69721ccd64d6;5;04/01/2022;;SimilarWeb;Employee Experience Specialist- APAC;Australia;New South Wales;;FALSE;;;;;;FALSE;Operations;Operations
72dff1d9-5cc4-4f3a-9bda-9f686666cbae;7;08/01/2021;;Yotpo;Sales Director;Australia;New South Wales;;FALSE;English;Head of Sales;Head of Sales;Sales Managers;Sales and Trading;FALSE;Marketing & Sales;Sales
f9af96a2-f1ef-4083-ba3d-69245f069231;3;09/01/2018;;Taboola;Quality Assurance Analyst;Australia;;;FALSE;English;Quality Adviser;Quality Adviser;Management Analysts and Consultants;Management, Policy and Governance;FALSE;Digital & Analytics;IT
35f4b211-7847-4731-ba0e-67e61bc6d584;6;07/01/2018;;WalkMe™;Office Manager;Australia;New South Wales;;FALSE;English;Office Manager;Office Manager;Heads of Administration and Customer Services;Administration and Customer Service;TRUE;Operations;Administration
728eb789-ce70-41e8-852a-3d94d5969079;3;07/01/2016;01/01/2017;WalkMe™;Customer Success Manager;Australia;;;FALSE;English;Customer Manager;Customer Manager;Heads of Administration and Customer Services;Administration and Customer Service;TRUE;Operations;Administration
eb8b20a6-14d1-490e-b705-088a133e7ad5;14;01/01/2022;;monday.com;Pod Lead - New Business & Mid Market;Australia;New South Wales;;FALSE;;;;;;FALSE;Marketing & Sales;Marketing
b56d5504-d188-4a1d-969d-32d201fd34ec;6;07/01/2022;;monday.com;CX Social Engagement Manager (APJ);Australia;;;FALSE;;;;;;TRUE;Marketing & Sales;Marketing
54a80ba0-255b-49c1-bcf2-8c9ca6bd3d31;8;01/01/2014;03/01/2016;Natural Intelligence;SEO & Online Marketing Specialist;Australia;;;FALSE;English;Search Engine Optimisation Marketeer;Search Engine Optimisation Marketeer;Marketing and Advertising Personnel;Communication, Marketing and Public Relations;FALSE;Marketing & Sales;Marketing
f212bd91-ac48-472c-a221-53ee3baa23b4;8;01/01/2014;03/01/2016;Natural Intelligence;SEO & Online Marketing Specialist;Australia;;;FALSE;English;Search Engine Optimisation Marketeer;Search Engine Optimisation Marketeer;Marketing and Advertising Personnel;Communication, Marketing and Public Relations;FALSE;Marketing & Sales;Marketing
bac22843-c677-48dd-a78a-d72dec98db1a;1;07/01/2009;01/01/2010;Gong;Political Research Staff;Austria;;;FALSE;;;;;;FALSE;Legal, Risk & HR;HR
